1007565627|conference|always|garden|adult|thought|like|why|close|couple|run|974.04|father|north|
1345832191|rate|think|fine|idea|energy|cover|to|within|your|discuss|843.55|else|suggest|
1404908178|control|hope|popular|guy|involve|about|significant|card|unit|indeed|589.08|guess|plan|
1466963645|later|glass|money|several|table|small|away|including|someone|Mrs|944.18|can|science|
188174266|seem|name|research|rock|water|daughter|teacher|wide|though|hundred|383.97|camera|standard|
1090528765|fact|reason|relate|control|election|white|budget|scene|public|must|300.55|she|special|
-1410252558|develop|last|road|performance|choice|other|great|sport|claim|start|553.97|parent|mean|
1075110891|page|want|knowledge|small|rock|daughter|always|fight|there|manage|254.46|out|trial|
-1101007520|development|top|project|position|admit|attack|baby|Congress|message|discuss|881.56|option|serious|
-1272775014|when|beyond|general|news|throw|ever|Mrs|message|affect|why|461.44|price|on|
-619311294|box|feeling|garden|page|reason|staff|wide|strong|resource|trouble|484.09|agent|address|
-230073369|bed|entire|indicate|phone|step|manage|a|participant|although|radio|844.21|against|property|
-119136256|send|ball|international|example|over|participant|Republican|society|institution|husband|31.66|discuss|last|
-2094242338|item|consider|case|face|myself|economy|building|back|little|central|544.07|despite|level|
60431889|voice|executive|whole|shoulder|thank|also|focus|necessary|they|nation|199.71|public|food|
-1513619401|south|under|few|deal|employee|actually|campaign|race|lead|operation|26.23|picture|wait|
1496786347|fast|have|nearly|young|relationship|better|behavior|tell|require|president|320.99|great|argue|
-1810646137|the|conference|outside|Congress|before|summer|account|check|including|green|859.29|quickly|close|
804067785|street|young|nature|spring|team|tree|along|cell|somebody|head|991.60|administration|many|
571482574|against|that|say|series|seven|boy|tough|save|record|huge|220.77|life|approach|
1598449951|happen|sometimes|unit|feel|performance|paper|loss|your|kid|either|755.74|court|push|
-2561533|car|seem|hospital|produce|claim|catch|two|green|imagine|study|647.81|budget|rather|
189770849|receive|down|entire|strong|yourself|successful|fall|know|hold|risk|198.78|under|even|
-316672210|evening|kid|respond|moment|walk|couple|information|ever|center|window|591.34|clearly|age|
1182446365|democratic|where|memory|walk|business|view|no|party|dream|huge|256.79|remember|modern|
1300686094|goal|something|radio|size|road|improve|individual|cost|opportunity|program|359.01|environmental|point|
887755893|money|analysis|smile|energy|send|everybody|film|firm|enough|certain|287.31|change|leader|
